Ship To Name,Direct/Distributor,Primary Chain,Zone,State,Chains Served
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro CNC,South-1,Karnataka,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro CNC,South-2,Telangana,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC15)-T0QY,Direct,Metro CNC,South-2,Telangana,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC16)-T0QZ,Direct,Metro CNC,South-2,Telangana,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC17)-T0QT,Direct,Metro CNC,South-2,Andhra Pradesh,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,Metro CNC,South-1,Karnataka,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC20)-T0RK,Direct,Metro CNC,West,Mumbai,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Direct,Metro CNC,West,Mumbai,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC24)-T0RJ,Direct,Metro CNC,North,Madhya Pradesh,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC25)-T0RB,Direct,Metro CNC,West,Gujarat,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC26)-T0SP,Direct,Metro CNC,South-1,Karnataka,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC28)-T0RF,Direct,Metro CNC,West,Gujarat,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,Direct,Metro CNC,South-2,Telangana,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC30)-T0RM,Direct,Metro CNC,West,Pune,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC32)-T0QU,Direct,Metro CNC,North,UPW,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC36)-T0RH,Direct,Metro CNC,South-2,Andhra Pradesh,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC37)-T0RD,Direct,Metro CNC,South-2,Andhra Pradesh,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF,Direct,Metro CNC,North,Punjab,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC45)-T0RE,Direct,Metro CNC,North,Rajasthan,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,Direct,Metro CNC,North,Delhi,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC47)-T0SI,Direct,Metro CNC,North,Punjab,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC48)-T0SK,Direct,Metro CNC,North,Punjab,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,Metro CNC,North,Delhi,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,Direct,Metro CNC,North,Lucknow_UPE,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC54)-T0QW,Direct,Metro CNC,North,UPW,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,Direct,Metro CNC,East,West Bengal,Metro CNC
Metro Cash & Carry India Pvt Ltd_DC33(T0SQ),Direct,Metro CNC,South-1,Karnataka,Metro CNC
Metro Cash & Carry India Pvt Ltd_T0SO,Direct,Metro CNC,South-1,Karnataka,Metro CNC
Metro Cash & Carry India Pvt Ltd_T2FM,Direct,Metro CNC,West,Mumbai,Metro CNC
Mittal Enterprises,Dist.,Vishal Mega Mart,North,Delhi,Vishal Mega Mart
Nykaa E-Retail Limited.-AP EB2B,Direct,Nykaa SS(fsn),South-2,Andhra Pradesh,Nykaa SS(fsn)
Nykaa E-Retail Limited.-AS EB2B,Direct,Nykaa SS(fsn),East,Northeast-Assam,Nykaa SS(fsn)
Nykaa E-Retail Limited.-BR EB2B,Direct,Nykaa SS(fsn),East,Bihar,Nykaa SS(fsn)
Nykaa E-Retail Limited.-GJ EB2B,Direct,Nykaa SS(fsn),West,Gujarat,Nykaa SS(fsn)
Nykaa E-Retail Limited.-HR-Gurhi EB2B,Direct,Nykaa SS(fsn),North,Haryana,Nykaa SS(fsn)
Nykaa E-Retail Limited.-KA EB2B,Direct,Nykaa SS(fsn),South-1,Karnataka,Nykaa SS(fsn)
Nykaa E-Retail Limited.-KL EB2B,Direct,Nykaa SS(fsn),South-1,Kerala,Nykaa SS(fsn)
Nykaa E-Retail Limited.-MP EB2B,Direct,Nykaa SS(fsn),North,Madhya Pradesh,Nykaa SS(fsn)
Nykaa E-Retail Limited.-Mum EB2B,Direct,Nykaa SS(fsn),West,Mumbai,Nykaa SS(fsn)
Nykaa E-Retail Limited.-OR EB2B,Direct,Nykaa SS(fsn),East,Orissa,Nykaa SS(fsn)
Nykaa E-Retail Limited.-PB EB2B,Direct,Nykaa SS(fsn),North,Punjab,Nykaa SS(fsn)
Nykaa E-Retail Limited.-TG EB2B,Direct,Nykaa SS(fsn),South-2,Telangana,Nykaa SS(fsn)
Nykaa E-Retail Limited.-TN EB2B,Direct,Nykaa SS(fsn),South-1,Tamil Nadu,Nykaa SS(fsn)
Nykaa E-Retail Limited.-UP-Hapur EB2B,Direct,Nykaa SS(fsn),North,UPW,Nykaa SS(fsn)
Nykaa E-Retail Limited.-UP-LKW EB2B,Direct,Nykaa SS(fsn),North,Lucknow-UPE,Nykaa SS(fsn)
Nykaa E-Retail Limited.-WB EB2B,Direct,Nykaa SS(fsn),East,West Bengal,Nykaa SS(fsn)
Octopolis Technologies Pvt Ltd,Direct,Apna Klub,North,UPW,Apna Klub
PRAGATI SALES-Apollo,Dist.,Apollo,West,Chattishgarh,Apollo
PRAGATI SALES-D-MART,Dist.,D-Mart,West,Chattishgarh,Apollo; D-Mart
R.C. Trade Link H&G,Dist.,Health & Glow,West,Mumbai,Health & Glow
REAL TIME LOGISTICS_MT_BR,Dist.,Vishal Mega Mart,East,Bihar,Vishal Mega Mart
RELIANCE RETAIL LIMITED-Badli,Direct,Reliance Retail,North,Haryana,Reliance Retail
RELIANCE RETAIL LIMITED-FREC,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
RELIANCE RETAIL LIMITED-FREF,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
