Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
61947.0,Ubtan Night Cream 50 g,8906087776734.0,Mamaearth,Face,Face Cream,Ubtan,50.0
500019611.0,Vitamin C Nourishing Cold Cream 200 g,8906087777229.0,Mamaearth,Face,Cold Cream,Vitamin C,200.0
393906.0,Bye Bye Wrinkles Face Cream 30 g,8906087778165.0,Mamaearth,Face,Face Cream,Solution Oriented,30.0
,Moisture Matte Longstay Lipstick / 02 Plum Punch,8906087777786.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
,Moisture Matte Longstay Lipstick / 04 Cinmon Nude,8906087777809.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
,Moisture Matte Longstay Lipstick / 08 Pink Tulip,8906087777847.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
,Glow Serum Foundation / 01 Ivory Glow 30 ml,8906087778288.0,Mamaearth,Color Care,Foundation,Serum Foundation,30.0
,Glow Serum Foundation / 02 Creme Glow 30 ml,8906087778295.0,Mamaearth,Color Care,Foundation,Serum Foundation,30.0
,Glow Serum Foundation / 03 Nude Glow 30 ml,8906087778301.0,Mamaearth,Color Care,Foundation,Serum Foundation,30.0
,Glow Serum Foundation / 05 Beige Glow 30 ml,8906087778325.0,Mamaearth,Color Care,Foundation,Serum Foundation,30.0
,Glow Serum Foundation/ 07 Toffee Glow 30 ml,8906087778349.0,Mamaearth,Color Care,Foundation,Serum Foundation,30.0
566828.0,Aloe Ashwagandha Gel 300 ml,8906087778479.0,Mamaearth,Face,Face Cream,Aloe Vera,300.0
566838.0,Natural Henna Paste 200 g,8906087778486.0,Mamaearth,Hair,Henna Paste,Henna,200.0
1507458,Skin Illuminate Face Cream 80 g,8906087778523.0,Mamaearth,Face,Face Cream,Vitamin C,80.0
,Foaming Face Wash For Kids 150 Ml,8906087778264.0,Mamaearth,Baby,Kids Face Wash,Solution Oriented,150.0
500019884.0,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 150ml,8904417300512.0,Mamaearth,Face,Face Cleanser,Ubtan,150.0
571742.0,Soft Matte Long Stay Lipstick 02 Mulberry Pink 3.5 g,8904417306002.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
571744.0,Soft Matte Long Stay Lipstick 03 Grape Wine 3.5 g,8904417306125.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
,Soft Matte Long Stay Lipstick 04 Berry Nude 3.5 g,8904417306132.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
,Soft Matte Long Stay Lipstick 07 Ruby Red 3.5 g,8904417306170.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
MAM0454,ME Baby MilkySoft Head To Toe Wash 400ml,8904417308129.0,Mamaearth,Baby,Baby Body Wash,Milky,400.0
,Moisture Matte Longstay Lipstick -16 Hazelnut Brown 2 g,8904417308532.0,Mamaearth,Color Care,Lipstick,Moisture Matte,2.0
574271.0,Hibiscus Damage Repair Shampoo 250 ml,8904417312386.0,Mamaearth,Hair,Shampoo,Hibiscus,250.0
,Creamy Matte Long Stay Lipstick 01 Ruby Crush,8904417312447.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
,Creamy Matte Long Stay Lipstick 02 Rose Nude,8904417312454.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
,Creamy Matte Long Stay Lipstick 03 Pink Rose,8904417312461.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
574259.0,Creamy Matte Long Stay Lipstick 04 Mauve Bloom,8904417312478.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
,Creamy Matte Long Stay Lipstick 06 Apricot Taupe,8904417312492.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
,Creamy Matte Long Stay Lipstick 07 Pillow Nude,8904417312508.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
574263.0,Creamy Matte Long Stay Lipstick 08 Hibiscus Nude,8904417312515.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
,Creamy Matte Long Stay Lipstick 09 Cranberry Crush,8904417312522.0,Mamaearth,Color Care,Lipstick,Creamy Matte,4.2
494411839.0,Beetroot Hydraful Essence Serum 50 ml,8904417312997.0,Mamaearth,Face,Face Serum,Beetroot,50.0
494418129.0,Rice Water Dewy Active Serum 50 ml,8904417314267.0,Mamaearth,Face,Face Serum,Rice,50.0
MAM0483,Rice Dewy Bright Face wash,8904417314298.0,Mamaearth,Face,Face Cleanser,Rice,150.0
73927.0,Onion Shampoo 180 ml,8904417316292.0,Mamaearth,Hair,Shampoo,Onion,180.0
,Rosemary Anti-Hairfall Shampoo 180 ml,8904417316438.0,Mamaearth,Hair,Shampoo,Rosemary,180.0
,Vitamin C Daily Glow Body Lotion 200 ml,8904417317886.0,Mamaearth,Body,Body Lotion,Vitamin C,200.0
494409838.0,Rice Face Wash 50 ml,8904417316346.0,Mamaearth,Face,Face Cleanser,Rice,50.0
494409839.0,Multani Mitti Face Wash 50 ml,8904417316407.0,Mamaearth,Face,Face Cleanser,Multani Mitti,50.0
494409845.0,Beetroot Hydraful Light Moisturizing Cream 200 g,8904417318074.0,Mamaearth,Face,Moisturisers,Beetroot,200.0
494517369.0,ME Cocoa Rich Moisturizing Cream 200 g,8904417318357.0,Mamaearth,Face,Moisturisers,Cocoa,200.0
494579396.0,ME Multani Mitti Oil Balance Face Wash 150 ml,8904417318746.0,Mamaearth,Face,Face Cleanser,Multani Mitti,150.0
494579399.0,ME Tea Tree Oil Control Face Wash 150 ml,8904417319200.0,Mamaearth,Face,Face Cleanser,Tea Tree,150.0
