Brand,EAN,First_Observed,Num_Chains,Observed_Chains,Total_Rows,Total_NSV_Lakh
MAMAEARTH,8904417303537,2026-07,19,AIRPLAZA|APOLLO PHARMACY|AZ ENTERPRISES-MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|HYPERMAX CITY-CARREFOUR|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|METRO-CNC-RRL|MORE RETAIL|SANCUS NETWORKS-MT-REG.|SPENCER|SRI VIJAYA DURGA AGENCIES|STAR BAZAAR|VMM,374,133.57161492857142
MAMAEARTH,8904417315073,2026-07,19,AIRPLAZA|APOLLO PHARMACY|AZ ENTERPRISES-MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|METRO-CNC-RRL|SANCUS NETWORKS-MT-REG.|SEHAJ ENTERPRISES -MT-JK|SRI VIJAYA DURGA AGENCIES|STAR BAZAAR|V-MART|VMM,292,98.88404378095238
MAMAEARTH,8906087770671,2026-07,29,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|AZ ENTERPRISES-MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|MARK ENTERPRISE-APOLLO|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RR TRADERS-MT|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SEHAJ ENTERPRISES -MT-JK|SPENCER|SRI VIJAYA DURGA AGENCIES|TROY TRADEX-MT-OR -EAST|V-MART|VENKATESHWARA AGENCIES-TG|VMM|WELLNESS FOREVER,376,65.27209460508475
MAMAEARTH,8906087771180,2026-07,19,APOLLO PHARMACY|AZ ENTERPRISES-MT|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|MARK ENTERPRISE-APOLLO|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SPENCER|SRI VIJAYA DURGA AGENCIES|WELLNESS FOREVER,158,64.9600154047619
MAMAEARTH,8904417312546,2026-07,20,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|M/S KOTTARAM BUSINESS|METRO-CNC-RRL|MORE RETAIL|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SPENCER|SUMO SAVE|TRAVEL NEWS SERVICES-WSMITH|V-MART|VENKATESHWARA AGENCIES-TG,276,49.0163345
MAMAEARTH,8904417307740,2026-07,26,AIRPLAZA|APOLLO PHARMACY|AZ ENTERPRISES-MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|MANOJ SOAP AGENCY-MT|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RR TRADERS-MT|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SPENCER|SRI VIJAYA DURGA AGENCIES|SUMO SAVE|TROY TRADEX-MT-OR -EAST|VMM|WELLNESS FOREVER,370,45.665886199999996
MAMAEARTH,8904417317244,2026-07,21,AZ ENTERPRISES-MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|M/S KOTTARAM BUSINESS|MARK ENTERPRISE-APOLLO|METRO-CNC-RRL|REAL TIME LOGISTICS_MT_BR|RELIANCE RETAIL|RRL-FOC-SAMPLE|SANCUS NETWORKS-MT-REG.|SRI VIJAYA DURGA AGENCIES|V-MART|VENKATESHWARA AGENCIES-TG,118,42.557199008474576
MAMAEARTH,8906087772859,2026-07,29,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|AZ ENTERPRISES-MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RR TRADERS-MT|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SEHAJ ENTERPRISES -MT-JK|SPENCER|SRI VIJAYA DURGA AGENCIES|STAR BAZAAR|TROY TRADEX-MT-OR -EAST|V-MART|VENKATESHWARA AGENCIES-TG|VMM|WELLNESS FOREVER,355,41.77368808305085
MAMAEARTH,8904417309546,2026-07,6,BALAJI ASSOCIATES DISTRIBUTOR MT|D.L. SALES - MT|METRO-CNC-RRL|RELIANCE RETAIL|SRI VIJAYA DURGA AGENCIES|TROY TRADEX-MT-OR -EAST,83,37.0221456
MAMAEARTH,8904417322798,2026-07,7,APOLLO PHARMACY|AZ ENTERPRISES-MT|HYPERMAX CITY-CARREFOUR|LULU HYPER|METRO-CNC-RRL|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.,123,35.54434094915254
