Zone	Brand	SubCat	Apr-26	May-26	Jun-26	Q1T
SOUTH-2	Mamaearth	Sun Care	38	40	29	107
SOUTH-2	Mamaearth	Under Eye Care	0	0	0	0
SOUTH-2	The Derma Co.	Body Lotion		0	0	0
SOUTH-2	The Derma Co.	Combo			0	0
SOUTH-2	The Derma Co.	Cream	0	0	0	1
SOUTH-2	The Derma Co.	Face Cleanser	42	62	66	170
SOUTH-2	The Derma Co.	Face Masks	0	0	1	1
SOUTH-2	The Derma Co.	Face Serum	10	10	9	29
SOUTH-2	The Derma Co.	Lip Balm	0	0	0	1
SOUTH-2	The Derma Co.	Moisturisers	1	1	1	2
SOUTH-2	The Derma Co.	Shampoo	0	0	0	1
SOUTH-2	The Derma Co.	Soap	0	0	0	0
SOUTH-2	The Derma Co.	Sun Care	35	57	35	127
SOUTH-2	Aqualogica	Body Mist			0	0
SOUTH-2	Aqualogica	Face Cleanser	0	0	0	1
SOUTH-2	Aqualogica	Face Serum		0		0
SOUTH-2	Aqualogica	Moisturisers	0	0	0	1
SOUTH-2	Aqualogica	Sun Care	6	7	5	18
SOUTH-2	BBLUNT	5 Minute Shampoo	0	0	0	0
SOUTH-2	BBLUNT	Conditioner	0	0	0	0
SOUTH-2	BBLUNT	Creme Hair Colour	0	0	0	0
SOUTH-2	BBLUNT	Hair Mask	0	0	0	0
SOUTH-2	BBLUNT	Hair Serum	0		0	0
SOUTH-2	BBLUNT	Hair Spray	1	1	1	2
SOUTH-2	BBLUNT	Hair Tonic	0	0	0	0
SOUTH-2	BBLUNT	Shampoo	0	0	0	1
WEST	Mamaearth	Baby Body Wash	4	4	4	12
WEST	Mamaearth	Baby Soap	10	10	11	32
WEST	Mamaearth	BB Cream	0	0		0
WEST	Mamaearth	Body Gel	0	0	0	0
WEST	Mamaearth	Body Lotion	21	16	17	54
WEST	Mamaearth	Body Wash	9	11	10	30
WEST	Mamaearth	Cold Cream	3	3	2	8
WEST	Mamaearth	Combo	0	0	0	0
WEST	Mamaearth	Compact	0	0	0	0
WEST	Mamaearth	Conditioner	3	4	3	10
WEST	Mamaearth	Dusting Powder	1	1	1	3
WEST	Mamaearth	EAU DE PARFUM	0	0	0	0
WEST	Mamaearth	Face Cleanser	259	290	308	857
WEST	Mamaearth	Face Cream	1	1	1	2
WEST	Mamaearth	Face Masks	2	2	1	4
WEST	Mamaearth	Face Scrub	2	2	1	5
WEST	Mamaearth	Face Serum	1	1	1	2
WEST	Mamaearth	Face Toner	0		0	0
WEST	Mamaearth	Facial Kit	1	1	0	2
WEST	Mamaearth	Hair Mask	0	0	0	1
WEST	Mamaearth	Hair Oil	12	13	14	38
WEST	Mamaearth	Hair Serum	1	1	1	3
WEST	Mamaearth	Henna Paste	0	0	0	0
WEST	Mamaearth	Hygiene	0	0	0	0
