Channel	Brand	SubCat	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
MT	Mamaearth	OTC	NORTH	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0
MT	Mamaearth	OTC	WEST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	EAU DE PARFUM	EAST	3	3	3	3	4	1	1	1	0	0	1	0	0	0	0
MT	Mamaearth	EAU DE PARFUM	NORTH	2	4	3	3	4	1	2	1	0	0	1	0	0	0	0
MT	Mamaearth	EAU DE PARFUM	SOUTH-1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0
MT	Mamaearth	EAU DE PARFUM	SOUTH-2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
MT	Mamaearth	EAU DE PARFUM	WEST	1	1	1	1	2	1	1	0	0	0	1	0	0	0	0
MT	Mamaearth	Henna Paste	SOUTH-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MT	Mamaearth	Body Gel	NORTH	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
MT	Mamaearth	Lipstick	EAST	1	0	1	0	0	0							0	0	0
MT	Mamaearth	Lipstick	NORTH	2	1	1	0	0	0	0		0				0	0	0
MT	Mamaearth	Lipstick	SOUTH-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MT	Mamaearth	Lipstick	WEST	1	0	1	0	0	2	0	0	0		0	0	0	0	0
MT	Mamaearth	Hygiene	SOUTH-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MT	Mamaearth	Hygiene	WEST	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MT	Mamaearth	Foundation	WEST	0	0	0	0	0	1	0	0	0		0	0	0	0	0
MT	The Derma Co.	Face Cleanser	EAST	2	3	3	3	4	3	4	6	8	10	10	12	17	18	22
MT	The Derma Co.	Face Cleanser	NORTH	6	7	9	12	18	21	27	29	43	67	63	84	94	132	135
MT	The Derma Co.	Face Cleanser	SOUTH-1	11	13	14	17	20	20	23	30	45	68	58	65	85	116	115
MT	The Derma Co.	Face Cleanser	SOUTH-2	3	4	5	6	6	6	5	7	14	28	21	29	42	62	66
MT	The Derma Co.	Face Cleanser	WEST	12	13	13	14	18	18	24	25	52	124	119	140	152	215	230
MT	The Derma Co.	Sun Care	EAST	6	6	5	4	4	3	4	5	6	7	7	10	15	18	14
MT	The Derma Co.	Sun Care	NORTH	19	17	18	12	13	11	15	14	17	18	26	54	68	92	69
MT	The Derma Co.	Sun Care	SOUTH-1	24	29	30	29	31	33	28	31	40	48	40	72	115	131	93
MT	The Derma Co.	Sun Care	SOUTH-2	8	9	10	8	9	10	8	9	13	17	15	25	35	57	35
MT	The Derma Co.	Sun Care	WEST	24	22	15	13	14	13	23	23	24	26	38	74	85	119	76
MT	The Derma Co.	Face Serum	EAST	4	8	4	5	7	4	5	6	7	11	6	5	6	7	9
MT	The Derma Co.	Face Serum	NORTH	9	8	8	8	10	7	10	10	13	14	12	15	17	16	15
MT	The Derma Co.	Face Serum	SOUTH-1	14	16	17	18	20	17	20	21	27	28	24	25	28	30	30
MT	The Derma Co.	Face Serum	SOUTH-2	5	5	6	6	6	6	6	7	8	9	8	8	10	10	9
MT	The Derma Co.	Face Serum	WEST	18	18	17	17	18	15	19	21	20	20	19	19	22	19	18
MT	The Derma Co.	Moisturisers	EAST	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1
MT	The Derma Co.	Moisturisers	NORTH	0	0	0	0	0	1	1	2	4	2	1	2	2	1	1
MT	The Derma Co.	Moisturisers	SOUTH-1	2	2	2	2	2	2	2	2	4	4	3	3	4	3	4
MT	The Derma Co.	Moisturisers	SOUTH-2	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1
MT	The Derma Co.	Moisturisers	WEST	2	2	2	2	2	2	3	4	4	3	3	3	3	3	2
MT	The Derma Co.	Face Masks	SOUTH-1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
MT	The Derma Co.	Face Masks	SOUTH-2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
MT	The Derma Co.	Face Masks	WEST	2	2	2	2	2	2	3	3	1	1	2	2	2	2	2
MT	The Derma Co.	Cream	NORTH	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0
MT	The Derma Co.	Cream	SOUTH-1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2
MT	The Derma Co.	Cream	SOUTH-2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
MT	The Derma Co.	Cream	WEST	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	The Derma Co.	Shampoo	NORTH												0	0	1	1
MT	The Derma Co.	Shampoo	SOUTH-1								0		0		0	1	1	1
MT	The Derma Co.	Lip Balm	SOUTH-1	1	1	1	1	3	3	3	1	1	1	1	1	1	1	1
MT	The Derma Co.	Lip Balm	SOUTH-2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
MT	The Derma Co.	Soap	SOUTH-1				0				0	0	0	0	0	0	1	0
