Year-Month,Chain/Account,Distributor,EAN,Brand,Category,Sub_Category,Quantity,NSV
2026-04,AIRPLAZA MOGA,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,15,1218.749996
2026-04,AIRPLAZA MOGA,RR Traders,8906087770657,Mamaearth,Face,Face Cleanser,9,1667.249995
2026-04,AIRPLAZA MOGA,RR Traders,8906087770671,Mamaearth,Face,Face Cleanser,9,1573.649998
2026-04,AIRPLAZA MOGA,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,6,1111.499998
2026-04,AIRPLAZA MOGA,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA MOGA,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA MOGA,RR Traders,8906087779032,Mamaearth,Face,Face Cleanser,12,2098.199998
2026-04,AIRPLAZA MOGA,RR Traders,8904417303537,Mamaearth,Hair,Shampoo,6,1917.599998
2026-04,AIRPLAZA MOGA,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA MOHALI,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,24,6536.400008
2026-04,AIRPLAZA MOHALI,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,24,6536.400008
2026-04,AIRPLAZA MOHALI,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,24,1949.999994
2026-04,AIRPLAZA MOHALI,RR Traders,8906087770657,Mamaearth,Face,Face Cleanser,12,2222.999994
2026-04,AIRPLAZA MOHALI,RR Traders,8906087770671,Mamaearth,Face,Face Cleanser,12,2098.199998
2026-04,AIRPLAZA MOHALI,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,12,2222.999994
2026-04,AIRPLAZA MOHALI,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA MOHALI,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA MOHALI,RR Traders,8906087779032,Mamaearth,Face,Face Cleanser,15,2778.749993
2026-04,AIRPLAZA MOHALI,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,12,2418.000002
2026-04,AIRPLAZA MOHALI,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,12,2418.000002
2026-04,AIRPLAZA MUKTSAR,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA MUKTSAR,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,3,817.050001
2026-04,AIRPLAZA MUKTSAR,RR Traders,8904417314298,Mamaearth,Face,Face Cleanser,3,817.050001
2026-04,AIRPLAZA MUKTSAR,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,15,1218.749996
2026-04,AIRPLAZA MUKTSAR,RR Traders,8906087770657,Mamaearth,Face,Face Cleanser,6,1111.499998
2026-04,AIRPLAZA MUKTSAR,RR Traders,8906087770671,Mamaearth,Face,Face Cleanser,9,1573.649998
2026-04,AIRPLAZA MUKTSAR,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,6,1111.499998
2026-04,AIRPLAZA MUKTSAR,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA MUKTSAR,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA MUKTSAR,RR Traders,8906087779032,Mamaearth,Face,Face Cleanser,12,2098.199998
2026-04,AIRPLAZA MUKTSAR,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,9,1813.5
2026-04,AIRPLAZA PANCHKULA,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,6,1634.100002
2026-04,AIRPLAZA PANCHKULA,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,15,4085.250005
2026-04,AIRPLAZA PANCHKULA,RR Traders,8904417314298,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA PANCHKULA,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,12,974.999998
