Chain,Brand,Article_Code,Assortment_Type
APNA KLUB,MAMAEARTH,'8904417318074,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417318081,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417318296,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417318357,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417318364,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417318425,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417318746,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417318876,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417319200,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417319873,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417319880,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417319910,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417319927,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417319941,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417320183,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417320510,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417320527,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417321722,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417322361,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417322552,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417322569,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417322774,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417322798,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417323696,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417324617,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417324679,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417325478,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417325584,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770008,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770022,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770046,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770060,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770084,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770121,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770152,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770435,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770442,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770459,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770510,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770527,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770534,Brand_Pareto_Assortment_Fallback
