Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Avenue Supermarts Ltd.-DC-1068,Direct,0.760805,1.71,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.1938718,3.02064,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,0.0757973,0.21552,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.745074,4.31136,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.5159455,4.3104,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,2.9560937,8.40528,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.0651269,2.394,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,0.9527698,2.1987,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.5652647,3.61215,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.7122878,4.49,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.8244065,3.588,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,3.7071451,10.5408,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,0.5116593,1.29456,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,1.2172878999999999,2.736,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1068,Direct,2.3819246,5.49675,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.2365106,3.12852,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.4366572,1.0788,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.7608053,1.71,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.8535735999999998,5.2704,Aug'26,FY_26-27,North,Haryana,The Derma Co,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.2686445,2.495,Aug'26,FY_26-27,North,Haryana,The Derma Co,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.6592976000000002,4.09944,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.7608053,1.71,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.3304069,0.8208,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.8954042999999999,2.26548,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,1.7084141,4.74336,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.8847153,2.04165,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.3635572,0.8982,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Avenue Supermarts Ltd.-DC-1091,Direct,0.4763851,1.09935,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0325679,0.0549,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0428259,0.07896,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
