col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Trends TZ61,North,Delhi,Delhi ,,,Trends ,Non BA Counter,,,,TZ61,"Pacific Mall, Dwarka",,,8906087775607.0,10% Vitamin C Face Serum 30ml,30.0,10% Vitamin C Face Serum 30ml,The Derma Co.,Face,Face Serum,Vitamin C,649.0,1.0,649.0,0.00385,649.0,,0.3,46023.0,Jan ,2026.0,Face Serum,649.0,649.0,0.00649
,Trends TZ61,North,Delhi,Delhi ,,,Trends ,Non BA Counter,,,,TZ61,"Pacific Mall, Dwarka",,,8906087776604.0,2%Ã¯Â¿Â½Kojic Acid Face Serum,30.0,2%Ã¯Â¿Â½Kojic Acid Face Serum,The Derma Co.,Face,Face Serum,Kojic Acid,499.0,1.0,499.0,0.0029601694915254236,499.0,,0.3,46023.0,Jan ,2026.0,Face Serum,499.0,499.0,0.00499
,Trends 4826,North,Delhi,Delhi ,,,Trends ,Non BA Counter,,,,4826.0,"RIL Mall, Dwarka, Delhi",,,8906087772859.0,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,100.0,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,Mamaearth,Face,Face Cleanser,Vitamin C,285.0,1.0,285.0,0.0017631355932203388,285.0,,0.27,46023.0,Jan ,2026.0,Face Cleanser,285.0,285.0,0.00285
,Trends 8010,South-2,Telangana,Hyderabad,,,Trends ,Non BA Counter,,,,8010.0,8010 - Hyderabad Kothapet,,,8904417313185.0,Refresh+ Perfume Body Mist- Sun kissed vanilla 150ml,150.0,Refresh+ Perfume Body Mist- Sun kissed vanilla 150ml,Aqualogica,Fragrance,Body Mist,Refresh+,499.0,1.0,499.0,0.0029601694915254236,499.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,499.0,499.0,0.00499
,Trends 8035,North,Haryana,Gurgaon,,,Trends ,Non BA Counter,,,,8035.0,Ambi Mall,,,8906087779032.0,Rice Face Wash 100 ml,100.0,Rice Face Wash 100 ml,Mamaearth,Face,Face Cleanser,Rice,285.0,1.0,285.0,0.0017631355932203388,285.0,,0.27,46023.0,Jan ,2026.0,Face Cleanser,285.0,285.0,0.00285
,Trends 8045,South-1,Karnataka,Bangalore,,,Trends ,Non BA Counter,,,,8045.0,Mantri,,,8904417308570.0,Radiance+ Dewy Sunscreen 80g,80.0,AQ Radiance+ Dewy Gel Sunscreen 80g with 2% Nia Hylauron + Watermelon,Aqualogica,Face,Sun Care,Radiance+,599.0,1.0,599.0,0.0035533898305084746,599.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,599.0,599.0,0.00599
,Trends 8045,South-1,Karnataka,Bangalore,,,Trends ,Non BA Counter,,,,8045.0,Mantri,,,8906087773849.0,2% SALICYLIC ACID SERUM 30 ml,30.0,2% SALICYLIC ACID SERUM 30 ml,The Derma Co.,Face,Face Serum,Salicylic Acid,499.0,1.0,499.0,0.0029601694915254236,499.0,,0.3,46023.0,Jan ,2026.0,Face Serum,499.0,499.0,0.00499
,Trends 8053,South-1,Karnataka,Bangalore,,,Trends ,Non BA Counter,,,,8053.0,Kamanahalli,,,8904417303407.0,Rose T 100% N Lip balm 2 g(Blister Pack),2.0,Rose T 100% N Lip balm 2 g(Blister Pack),Mamaearth,Face,Lip Balm,Rose,299.0,1.0,299.0,0.0018497457627118644,299.0,,0.27,46023.0,Jan ,2026.0,Others Face,299.0,299.0,0.00299
,Trends 8053,South-1,Karnataka,Bangalore,,,Trends ,Non BA Counter,,,,8053.0,Kamanahalli,,,8904417307139.0,2% Kojic Acid Face Serum 10 ml,10.0,2% Kojic Acid Face Serum 10 ml,The Derma Co.,Face,Face Serum,Kojic Acid,249.0,1.0,249.0,0.0014771186440677966,249.0,,0.3,46023.0,Jan ,2026.0,Face Serum,249.0,249.0,0.00249
,Trends 8053,South-1,Karnataka,Bangalore,,,Trends ,Non BA Counter,,,,8053.0,Kamanahalli,,,8904417313420.0,Rice Dewy Bright Sunscreen SPF 50 50g,50.0,ME Rice Dewy Bright Sunscreen SPF 50 50g,Mamaearth,Face,Sun Care,Rice,449.0,1.0,449.0,0.0027777118644067796,449.0,,0.27,46023.0,Jan ,2026.0,Sun Care,449.0,449.0,0.00449
,Trends 8053,South-1,Karnataka,Bangalore,,,Trends ,Non BA Counter,,,,8053.0,Kamanahalli,,,8906087771982.0,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles Ã¯Â¿Â½ 20ml,20.0,Bye Bye Dark Circles Eye Cream with Cucumber & Peptides for Dark Circles Ã¯Â¿Â½ 20ml,Mamaearth,Face,Under Eye Care,Solution Oriented,399.0,1.0,399.0,0.0024683898305084746,399.0,,0.27,46023.0,Jan ,2026.0,Others Face,399.0,399.0,0.00399
