col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Trends TX18,WEST,Maharashtra,Pune,,,Trends ,Non Brand Counter,,,,TX18,TX18 - Pune RIL Mall Elpro,494491685,494491685,8904417317183.0,MAMAEARTH UBTAN MOIS BDY LTN 400ML BTL,400.0,Ubtan Moisturizing Body Lotion 400 ml,Mamaearth,Body,Body Lotion,Ubtan,549.0,1.0,549.0,0.003256779661016949,,,0.3,46143.0,May,2026.0,,549.0,549.0,549.0
,Trends TX18,WEST,Maharashtra,Pune,,,Trends ,Non Brand Counter,,,,TX18,TX18 - Pune RIL Mall Elpro,492506700,492506700,8906087773917.0,MAMAEARTH TEA TREE FW 250 ml BTL,250.0,Mamaearth Tea Tree Facewash For Acne & Pimples 250ml,Mamaearth,Face,Face Cleanser,Tea Tree,599.0,1.0,599.0,0.0035533898305084746,,,0.3,46143.0,May,2026.0,,599.0,599.0,599.0
,Trends TX18,WEST,Maharashtra,Pune,,,Trends ,Non Brand Counter,,,,TX18,TX18 - Pune RIL Mall Elpro,494262490,494262490,8906087775058.0,The Derma Co 10 Niacinamide Serum 10ml,10.0,The Derma Co 10% Niacinamide Serum 10 ml,The Derma Co.,Face,Face Serum,Niacinamide,249.0,1.0,249.0,0.0015404237288135594,,,0.27,46143.0,May,2026.0,,249.0,249.0,249.0
,Trends TX18,WEST,Maharashtra,Pune,,,Trends ,Non Brand Counter,,,,TX18,TX18 - Pune RIL Mall Elpro,493725504,493725504,8904417303131.0,THE DERMA CO PORE MA FOR OPEN PORES 50G,50.0,TDC Pore Minimizing Sunscreen Gel_50g,The Derma Co.,Face,Sun Care,Niacinamide,449.0,1.0,449.0,0.0027777118644067796,,,0.27,46143.0,May,2026.0,,449.0,449.0,449.0
,Trends TZ61,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,TZ61,TZ61 - Delhi Pacific Mall,494418141,494418141,8904417314397.0,Aqualogica RadianceDewySunscrn SPF50 30g,30.0,AQ Radiance+ Dewy Sunscreen Gel SPF 50+ PA++++ 30g,Aqualogica,Face,Sun Care,Radiance+,299.0,1.0,299.0,0.0018497457627118644,,,0.27,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends TZ61,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,TZ61,TZ61 - Delhi Pacific Mall,492367801,492367801,8906087772460.0,MAMAEARTH UBTN TRMC&WLNT FCSCB 100G TUBE,100.0,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,Mamaearth,Face,Face Scrub,Ubtan,349.0,1.0,349.0,0.0020703389830508474,,,0.3,46143.0,May,2026.0,,349.0,349.0,349.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,494410791,494410791,8904417311501.0,Mamaearth Daily glow sunscreen 80g,80.0,Vitamin C Daily Glow Sunscreen 80 g,Mamaearth,Face,Sun Care,Vitamin C,599.0,1.0,599.0,0.0035533898305084746,,,0.3,46143.0,May,2026.0,,599.0,599.0,599.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,491938290,491938290,8906087771333.0,MAMAEARTH SP SPF50 ULR LG IND SS 80G CBD,80.0,Mamaearth Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ - 80ml,Mamaearth,Face,Sun Care,Ubtan,599.0,1.0,599.0,0.0035533898305084746,,,0.3,46143.0,May,2026.0,,599.0,599.0,599.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,493725491,493725491,8906087779292.0,THE DERMA COOILFREES MULTIVITAMINS 100G,100.0,Oil-Free Daily Face Moisturizer,The Derma Co.,Face,Moisturisers,Hyaluronic Acid,349.0,1.0,349.0,0.0021590677966101695,,,0.27,46143.0,May,2026.0,,349.0,349.0,349.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,493725538,493725538,8904417306231.0,THE DERMA CO 1 HYALHTACNEPRONE SKIN 80G,80.0,1% Hyaluronic Sunscreen Aqua Gel 80g,The Derma Co.,Face,Sun Care,Hyaluronic Acid,699.0,1.0,699.0,0.004324322033898305,,,0.27,46143.0,May,2026.0,,699.0,699.0,699.0
,Trends 4826,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,4826.0,4826 - Delhi RIL Mal Dwarka,493725494,493725494,8906087779308.0,THE DERMA CO OILFREIVITAMINS FOR 100ML,100.0,Oil-Free Daily Face Wash,The Derma Co.,Face,Face Cleanser,Glycolic Acid,275.0,1.0,275.0,0.0017012711864406779,,,0.27,46143.0,May,2026.0,,275.0,275.0,275.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,493655230,493655230,8906087778110.0,AQUALOGICA GWSM FW PYVTC  BGHY 100MLTUBE,100.0,AQ Glow+ Hydra Smooth Face Wash 100ml with Papaya & Vitamin C,Aqualogica,Face,Face Cleanser,Glow+,249.0,1.0,249.0,0.0015404237288135594,,,0.27,46143.0,May,2026.0,,249.0,249.0,249.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,491938302,491938302,8906087772330.0,MAMAEARTH SKIN CORECT FACE SERUM 30MLBTL,30.0,Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars Ã¯Â¿Â½ 30 ml,Mamaearth,Face,Face Serum,Niacinamide,599.0,1.0,599.0,0.0035533898305084746,,,0.3,46143.0,May,2026.0,,599.0,599.0,599.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,492367801,492367801,8906087772460.0,MAMAEARTH UBTN TRMC&WLNT FCSCB 100G TUBE,100.0,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,Mamaearth,Face,Face Scrub,Ubtan,349.0,1.0,349.0,0.0020703389830508474,,,0.3,46143.0,May,2026.0,,349.0,349.0,349.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,494579881,494579881,8904417319538.0,TDC 1 Hyaluronic Sunscreen OilFree 50g,50.0,TDC 1% Hyaluronic Sunscreen Oil-Free Gel,The Derma Co.,Face,Sun Care,Hyaluronic Acid,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends 5943,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,5943.0,5943 - Mumbai InfinityMalad,493682146,493682146,8906087775713.0,THE DERMA CO 1 PERCESCREEN AQUA GEL 50gm,50.0,1% Hyaluronic Sunscreen Aqua Gel,The Derma Co.,Face,Sun Care,Hyaluronic Acid,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends 8035,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,8035.0,8035 - Gurgaon Ambience Mal,493843354,493843354,8904417306255.0,Aqualogica Detan Dewy Sunscreen 50g,50.0,AQ Detan + Dewy Sunscreen Gel SPF 50+ PA+++++ 50g,Aqualogica,Face,Sun Care,Detan+,449.0,1.0,449.0,0.0027777118644067796,,,0.27,46143.0,May,2026.0,,449.0,449.0,449.0
,Trends 8035,NORTH,Delhi,Delhi NCR,,,Trends ,Non Brand Counter,,,,8035.0,8035 - Gurgaon Ambience Mal,493655230,493655230,8906087778110.0,AQUALOGICA GWSM FW PYVTC  BGHY 100MLTUBE,100.0,AQ Glow+ Hydra Smooth Face Wash 100ml with Papaya & Vitamin C,Aqualogica,Face,Face Cleanser,Glow+,249.0,1.0,249.0,0.0015404237288135594,,,0.27,46143.0,May,2026.0,,249.0,249.0,249.0
