Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Metro Cash & Carry India Pvt Ltd-(DC24)-T0RJ,Direct,29845.83,57098.0,May'25,FY_25-26,Central,Madhya Pradesh,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC25)-T0RB,Direct,573.03,1500.0,May'25,FY_25-26,West,Gujarat,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC26)-T0SP,Direct,91466.19,214641.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC26)-T0SP,Direct,77628.67,122136.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC29)-T0RA,Direct,30044.02,91716.0,May'25,FY_25-26,South-2,Telangana,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC32)-T0QU,Direct,25461.81,55156.0,May'25,FY_25-26,North,UPW,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC36)-T0RH,Direct,30195.8,64110.0,May'25,FY_25-26,South-2,Andhra Pradesh,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC37)-T0RD,Direct,24663.55,50789.0,May'25,FY_25-26,South-2,Andhra Pradesh,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF,Direct,21520.43,45264.0,May'25,FY_25-26,North,Punjab,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC43)-T2YF,Direct,13682.9,21528.0,May'25,FY_25-26,North,Punjab,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC45)-T0RE,Direct,2772.8,-1161.0,May'25,FY_25-26,North,Rajasthan,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,Direct,19815.29,31176.0,May'25,FY_25-26,North,Delhi,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,Direct,168402.24,349868.0,May'25,FY_25-26,North,Delhi,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC46)-T0RC,Direct,35144.57,55294.0,May'25,FY_25-26,North,Delhi,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC47)-T0SI,Direct,67816.89,145224.0,May'25,FY_25-26,North,Punjab,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC48)-T0SK,Direct,3432.23,5400.0,May'25,FY_25-26,North,Punjab,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC48)-T0SK,Direct,31848.32,79926.0,May'25,FY_25-26,North,Punjab,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,59419.53,126456.0,May'25,FY_25-26,North,Delhi,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,Direct,9518.64,14976.0,May'25,FY_25-26,North,Lucknow_UPE,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC53)-T0QV,Direct,64413.49,151437.0,May'25,FY_25-26,North,Lucknow_UPE,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC54)-T0QW,Direct,58804.15,112949.0,May'25,FY_25-26,North,UPW,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,Direct,6086.43,9576.0,May'25,FY_25-26,East,West Bengal,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,Direct,106680.14,227742.0,May'25,FY_25-26,East,West Bengal,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd-(DC60)-T0QS,Direct,34264.79,53910.0,May'25,FY_25-26,East,West Bengal,The Derma Co.,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd_DC33(T0SQ),Direct,17512.64,31793.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd_T0SO,Direct,25460.14,52416.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd_T2FM,Direct,7134.51,11225.0,May'25,FY_25-26,West,Mumbai,Aqualogica,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd_T2FM,Direct,12950.8,20376.0,May'25,FY_25-26,West,Mumbai,BBlunt,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd_T2FM,Direct,35939.25,82011.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Metro CNC,MT
Metro Cash & Carry India Pvt Ltd_T2FM,Direct,51822.82,81535.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,Metro CNC,MT
Octopolis Technologies Pvt Ltd,Direct,-90610.17,-148500.0,May'25,FY_25-26,North,UPW,Mamaearth,Apna Klub,MT
PRAGATI SALES-Apollo,Dist.,121910.13,231091.0,May'25,FY_25-26,Central,Chattishgarh,Mamaearth,Apollo,MT
Reliance Retail Limited Ce08,Direct,109997.44,177804.0,May'25,FY_25-26,East,Jharkhand,Aqualogica,Reliance Retail,MT
Reliance Retail Limited Ce08,Direct,2193209.34,5618530.0,May'25,FY_25-26,East,Jharkhand,Mamaearth,Reliance Retail,MT
Reliance Retail Limited Ce08,Direct,65445.17,105788.0,May'25,FY_25-26,East,Jharkhand,The Derma Co.,Reliance Retail,MT
Reliance Retail Limited Cf08,Direct,19999.5,32328.0,May'25,FY_25-26,West,Mumbai,Aqualogica,Reliance Retail,MT
Reliance Retail Limited Cf08,Direct,974027.84,2417654.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Reliance Retail,MT
Reliance Retail Limited Cf08,Direct,29004.88,48894.0,May'25,FY_25-26,West,Mumbai,Pure Origin,Reliance Retail,MT
Reliance Retail Limited Fb08,Direct,129997.03,210132.0,May'25,FY_25-26,North,Punjab,Aqualogica,Reliance Retail,MT
Reliance Retail Limited Fb08,Direct,1391540.38,3417462.0,May'25,FY_25-26,North,Punjab,Mamaearth,Reliance Retail,MT
Reliance Retail Limited Fb08,Direct,61740.66,99800.0,May'25,FY_25-26,North,Punjab,The Derma Co.,Reliance Retail,MT
Reliance Retail Limited Fd08,Direct,139034.66,367418.0,May'25,FY_25-26,South-1,Karnataka,Mamaearth,Reliance Retail,MT
Reliance Retail Limited R468,Direct,27950.08,47115.0,May'25,FY_25-26,South-2,Andhra Pradesh,Mamaearth,Reliance Retail,MT
Reliance Retail Limited R701,Direct,89997.81,145476.0,May'25,FY_25-26,West,Gujarat,Aqualogica,Reliance Retail,MT
Reliance Retail Limited R701,Direct,1076566.58,2567480.0,May'25,FY_25-26,West,Gujarat,Mamaearth,Reliance Retail,MT
Reliance Retail Limited R701,Direct,30870.33,49900.0,May'25,FY_25-26,West,Gujarat,The Derma Co.,Reliance Retail,MT
Reliance Retail Limited R703,Direct,146590.67,309659.0,May'25,FY_25-26,South-1,Tamil Nadu,Mamaearth,Reliance Retail,MT
Reliance Retail Limited R801,Direct,49998.83,80820.0,May'25,FY_25-26,East,Orissa,Aqualogica,Reliance Retail,MT
Reliance Retail Limited R801,Direct,1375697.53,3288975.0,May'25,FY_25-26,East,Orissa,Mamaearth,Reliance Retail,MT
Reliance Retail Limited R801,Direct,22484.21,37902.0,May'25,FY_25-26,East,Orissa,Pure Origin,Reliance Retail,MT
