,,,,,EAN,,,,
CNC,Metro Cnc,NPD,EAST,Mamaearth,8904417306231,Milky Soft Body Lotion For Babies 400 ml,Baby,Body Lotion,Milky
CNC,Metro Cnc,NPD,EAST,The Derma Co.,8904417314755,1% Hyaluronic Sunscreen Aqua Gel 80g,Face,Sun Care,Hyaluronic Acid
CNC,Metro Cnc,NPD,EAST,The Derma Co.,8904417315141,TDC 1% Kojic Acid Face Wash,Face,Face Cleanser,Kojic Acid
CNC,Metro Cnc,NPD,EAST,The Derma Co.,8904417316056,TDC 2% Sali Cinamide anti-acne face wash 150ml,Face,Face Cleanser,Sali-Cinamide
CNC,Metro Cnc,NPD,EAST,The Derma Co.,8906087772040,TDC 2% Salicylic Acid Gel Face Wash,Face,Face Cleanser,Salicylic Acid
CNC,Metro Cnc,NPD,EAST,The Derma Co.,8906087775607,10% Niacinamide Serum 30ml,Face,Face Serum,Niacinamide
CNC,Metro Cnc,NPD,EAST,The Derma Co.,8904417319941,10% Vitamin C Face Serum 30ml,Face,Face Serum,Vitamin C
Hyper\Super Market,Reliance ,NPD,EAST,Mamaearth,8904417320008,ME Baby Milky Soft Head to Toe Wash - 200 ml,Baby,Baby Body Wash,Milky
Hyper\Super Market,Reliance ,NPD,EAST,Mamaearth,8904417300123,ME Baby Milky Soft Body Lotion - 200ml,Baby,Body Lotion,Milky
Hyper\Super Market,Reliance ,NPD,EAST,The Derma Co.,8906087777045,Kojic Acid + L-Glutathione Daily Syndet Soap 75g x 2 (Pack of 2),Body,Soap,Kojic Acid
Hyper\Super Market,Reliance ,NPD,EAST,The Derma Co.,8906087777076,The Derma Co. 1% Collagen + Peptides Sheet Mask,Face,Face Masks,Collagen
Hyper\Super Market,Reliance ,NPD,EAST,The Derma Co.,8904417311587,The Derma Co. 1% Kojic + Arbutin Sheet Mask,Face,Face Masks,Kojic Acid
Regional,Sasta Sundar,NPD,EAST,Mamaearth,8906087771203,Ubtan Moisturizing Lotion Soap Pack of 4 (125 g x 4),Body,Soap,Ubtan
Regional,Sasta Sundar,NPD,EAST,Mamaearth,8906087773474,Mineral Based Sunscreen 50ml,Baby,Sun Care,Solution Oriented
Regional,Sasta Sundar,NPD,EAST,Mamaearth,8906087775638,Ubtan Bamboo Sheet Mask,Face,Face Masks,Ubtan
Regional,Sasta Sundar,NPD,EAST,Mamaearth,8906087778455,ME Tea Tree Face Wash 80 ml,Face,Face Cleanser,Tea Tree
Regional,Sasta Sundar,NPD,EAST,Mamaearth,8906087778776,Aloe Vera Face Wash 100 ml,Face,Face Cleanser,Aloe Vera
