Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
Apollo,Apollo Healthco Limited-Hubbli,Apollo Healthco Limited-Hubbli,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102414),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Hubbli,Apollo Healthco Limited-Hubbli,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102414),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Kochi,Apollo Healthco Limited-Kochi,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Jun'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102987),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Kochi,Apollo Healthco Limited-Kochi,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102987),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Kochi,Apollo Healthco Limited-Kochi,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102987),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Ore,Apollo Healthco Limited-Ore,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (High-Confidence Auto),Apollo,Apollo Healthco Limited-Ore,Keep,no Confirmed cross-reference found; auto-accepted as a direct 1:1 ship-to->chain mapping (High confidence per the file's own methodology),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Ore,Apollo Healthco Limited-Ore,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (High-Confidence Auto),Apollo,Apollo Healthco Limited-Ore,Keep,no Confirmed cross-reference found; auto-accepted as a direct 1:1 ship-to->chain mapping (High confidence per the file's own methodology),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Sanath Nagar,Apollo Healthco Limited-Sanath Nagar,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,fuzzy match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102410),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited-Sanath Nagar,Apollo Healthco Limited-Sanath Nagar,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Sep'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,fuzzy match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1102410),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
Apollo,Apollo Healthco Limited_Bhiwandi,Apollo Healthco Limited_Bhiwandi,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),7,Apr'25–Mar'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1),,,,,,Validated (Cross-Ref),Apollo Healthco,Apollo Healthco,Keep,exact match on Ship-To Name against Confirmed row in CustomerCode_Zone_State_Mapping.csv (Customer Code 1101099),mtagent pbi audit (cross-ref CustomerCode_Zone_State_Mapping.csv),2026-07-14
