Month,Bill to customer,Brand,Chain Name,NSV
April'24,Reliance Retail Limited_FR02,Mamaearth,Reliance Retail,0.5496358
April'24,Reliance Retail Limited_FR03,Mamaearth,Reliance Retail,0.6038046000000001
April'24,Reliance Retail Limited_FR10,Mamaearth,Reliance Retail,0.6259075999999999
April'24,Reliance Retail Limited_FR27,Mamaearth,Reliance Retail,0.2404411999999999
April'24,Reliance Retail Limited_FR30,Mamaearth,Reliance Retail,0.29575399999999996
April'24,Reliance Retail Limited_FR31,Mamaearth,Reliance Retail,0.4005673999999999
April'24,Reliance Retail Limited_Fr87,Aqualogica,Reliance Retail,0.5700909
April'24,Reliance Retail Limited_Fr87,Mamaearth,Reliance Retail,22.471054700000007
April'24,Reliance Retail Limited_Fr89,Aqualogica,Reliance Retail,0.49615119999999996
April'24,Reliance Retail Limited_Fr89,Mamaearth,Reliance Retail,3.6534932999999996
April'24,Reliance Retail Limited_Fraz,Aqualogica,Reliance Retail,0.49615370000000003
April'24,Reliance Retail Limited_Fraz,Mamaearth,Reliance Retail,11.080448099999998
April'24,Reliance Retail Limited_FRBD,Mamaearth,Reliance Retail,0.7703226999999999
April'24,Reliance Retail Limited_FRCQ,Mamaearth,Reliance Retail,0.2817286
April'24,Reliance Retail Limited_FRCS,Mamaearth,Reliance Retail,0.32677920000000005
April'24,Reliance Retail Limited_FRDA,Mamaearth,Reliance Retail,0.5803729999999999
April'24,Reliance Retail Limited_FRDB,Mamaearth,Reliance Retail,0.5904409
April'24,Reliance Retail Limited_FRDI,Mamaearth,Reliance Retail,0.2963896
April'24,Reliance Retail Limited_FRDK,Mamaearth,Reliance Retail,0.5261097000000001
April'24,Reliance Retail Limited_FRDL,Mamaearth,Reliance Retail,0.22320290000000004
April'24,Reliance Retail Limited_FRDP,Mamaearth,Reliance Retail,0.4493989
April'24,Reliance Retail Limited_FRDT,Mamaearth,Reliance Retail,0.5086689
April'24,Reliance Retail Limited_FREM,Mamaearth,Reliance Retail,0.48128010000000004
April'24,Reliance Retail Limited_FRER,Mamaearth,Reliance Retail,0.4298058
April'24,Reliance Retail Limited_FREX,Mamaearth,Reliance Retail,0.501958
April'24,Reliance Retail Limited_FRFA,Mamaearth,Reliance Retail,0.43736490000000006
April'24,Reliance Retail Limited_FRFK,Mamaearth,Reliance Retail,0.5430763000000001
April'24,Reliance Retail Limited_FRFR,Mamaearth,Reliance Retail,0.5357706000000001
April'24,Reliance Retail Limited_FRGC,Mamaearth,Reliance Retail,0.5419319
April'24,Reliance Retail Limited_FRGF,Mamaearth,Reliance Retail,0.4869241
April'24,Reliance Retail Limited_FRGK,Mamaearth,Reliance Retail,0.5016773
April'24,Reliance Retail Limited_FRGW,Mamaearth,Reliance Retail,0.5429328
April'24,Reliance Retail Limited_FRHC,Mamaearth,Reliance Retail,0.5181364
April'24,Reliance Retail Limited_FRHF,Mamaearth,Reliance Retail,0.47496560000000004
April'24,Reliance Retail Limited_FRHM,Mamaearth,Reliance Retail,0.11770279999999998
April'24,Reliance Retail Limited_FRHR,Mamaearth,Reliance Retail,0.5140341
April'24,Reliance Retail Limited_Frhv,Aqualogica,Reliance Retail,0.49615190000000003
April'24,Reliance Retail Limited_Frhv,Mamaearth,Reliance Retail,11.422058099999997
April'24,RELIANCE RETAIL LIMITED_FRIA,Mamaearth,Reliance Retail,10.526839299999999
April'24,Reliance Retail Limited_SAOS,Mamaearth,Reliance Retail,11.729093600000004
April'24,Reliance Retail Limited_Sb01,Aqualogica,Reliance Retail,0.4684236
April'24,Reliance Retail Limited_Sb01,Mamaearth,Reliance Retail,12.521500199999998
April'24,RELIANCE RETAIL LIMITED_SF52,Mamaearth,Reliance Retail,8.359914199999999
April'24,Reliance Retail Limited_Sk8I,Mamaearth,Reliance Retail,1.1172910000000003
April'24,Reliance Retail Limited_SL6S,Mamaearth,Reliance Retail,3.5899237000000004
April'24,Reliance Retail Limited_T913,Mamaearth,Reliance Retail,0.25855920000000004
April'24,Reliance Retail Limited_T946,Mamaearth,Reliance Retail,0.5162463999999999
April'24,Reliance Retail Limited_TB15,Mamaearth,Reliance Retail,0.28536449999999997
April'24,Reliance Retail Limited_TE57,Mamaearth,Reliance Retail,0.5684241
April'24,Reliance Retail Limited_TFY8,Mamaearth,Reliance Retail,0.25540719999999995
April'24,Reliance Retail Limited_TH94,Mamaearth,Reliance Retail,0.47378810000000005
April'24,Reliance Retail Limited_TI77,Mamaearth,Reliance Retail,0.27038969999999996
April'24,Reliance Retail Limited_TK48,Mamaearth,Reliance Retail,0.5039487999999999
April'24,Reliance Retail Limited_TMW7,Mamaearth,Reliance Retail,0.6263135999999999
April'24,Reliance Retail Limited_TNC1,Mamaearth,Reliance Retail,0.17539019999999986
April'24,Reliance Retail Limited_TNC6,Mamaearth,Reliance Retail,0.6703808
April'24,Reliance Retail Limited_TO20,Mamaearth,Reliance Retail,0.2935922
April'24,Reliance Retail Limited_TOJ6,Mamaearth,Reliance Retail,0.5854658
April'24,Reliance Retail Limited_TP05,Mamaearth,Reliance Retail,0.47208479999999986
April'24,Reliance Retail Limited_TP75,Mamaearth,Reliance Retail,0.2997540999999999
April'24,Reliance Retail Limited_TP76,Mamaearth,Reliance Retail,0.23576319999999995
April'24,Reliance Retail Limited_TQ21,Mamaearth,Reliance Retail,0.515873
April'24,Reliance Retail Limited_TU21,Mamaearth,Reliance Retail,0.43465329999999985
April'24,Reliance Retail Limited_TW60,Mamaearth,Reliance Retail,0.8958737999999996
April'24,Reliance Retail Limited_TY87,Mamaearth,Reliance Retail,0.4915769000000001
April'24,Reliance Retail Limited-2956,Mamaearth,Reliance Retail,0.1303384
April'24,Reliance Retail Limited-6202,Mamaearth,Reliance Retail,0.22017759999999997
April'24,Reliance Retail Limited-6205,Mamaearth,Reliance Retail,1.6362044
April'24,Reliance Retail Limited-6206,Mamaearth,Reliance Retail,0.1973384
April'24,Reliance Retail Limited-6208,Mamaearth,Reliance Retail,0.5233734
April'24,Reliance Retail Limited-6217,Aqualogica,Reliance Retail,0.0277248
April'24,Reliance Retail Limited-6217,Mamaearth,Reliance Retail,1.2486438
April'24,Reliance Retail Limited-6217,The Derma Co,Reliance Retail,0.051876000000000005
April'24,Reliance Retail Limited-6219,Mamaearth,Reliance Retail,0.188254
April'24,Reliance Retail Limited-6220,Aqualogica,Reliance Retail,0.0277248
April'24,Reliance Retail Limited-6220,Mamaearth,Reliance Retail,0.4253388000000001
April'24,Reliance Retail Limited-6220,The Derma Co,Reliance Retail,0.022232199999999997
April'24,Reliance Retail Limited-6224,Aqualogica,Reliance Retail,0.007407
April'24,Reliance Retail Limited-6224,Mamaearth,Reliance Retail,0.1445086
April'24,Reliance Retail Limited-6224,The Derma Co,Reliance Retail,0.0080258
April'24,Reliance Retail Limited-6239,Mamaearth,Reliance Retail,0.3264411
April'24,RELIANCE RETAIL LIMITED-Badli,Aqualogica,Reliance Retail,0.49615270000000006
April'24,RELIANCE RETAIL LIMITED-Badli,Mamaearth,Reliance Retail,10.7170273
April'24,Reliance Retail Limited-FR04,Mamaearth,Reliance Retail,0.9263636000000002
April'24,Reliance Retail Limited-FR08,Mamaearth,Reliance Retail,0.3262038
April'24,Reliance Retail Limited-FR15,Mamaearth,Reliance Retail,0.287577
April'24,Reliance Retail Limited-FR63,Mamaearth,Reliance Retail,0.10728769999999999
April'24,Reliance Retail Limited-FR73,Mamaearth,Reliance Retail,0.3248722
April'24,Reliance Retail Limited-FRAR,Mamaearth,Reliance Retail,0.16925470000000004
April'24,Reliance Retail Limited-FRAU,Mamaearth,Reliance Retail,0.24194869999999996
April'24,Reliance Retail Limited-FRCA,Mamaearth,Reliance Retail,0.19807599999999997
April'24,Reliance Retail Limited-FRCB,Mamaearth,Reliance Retail,0.1901692
April'24,Reliance Retail Limited-FRCC,Mamaearth,Reliance Retail,0.47603439999999997
April'24,Reliance Retail Limited-FRCF,Mamaearth,Reliance Retail,0.18252480000000004
April'24,Reliance Retail Limited-FRCK,Mamaearth,Reliance Retail,0.2675938
April'24,Reliance Retail Limited-FRCO,BBlunt,Reliance Retail,0.1842954
April'24,Reliance Retail Limited-FRCO,Mamaearth,Reliance Retail,0.3988478
April'24,Reliance Retail Limited-FRCX,Mamaearth,Reliance Retail,0.9092458999999998
April'24,Reliance Retail Limited-FRDF,Mamaearth,Reliance Retail,0.2711945000000003
April'24,Reliance Retail Limited-FRDZ,Mamaearth,Reliance Retail,0.36204220000000004
April'24,RELIANCE RETAIL LIMITED-FREC,Mamaearth,Reliance Retail,13.2093122
April'24,RELIANCE RETAIL LIMITED-FREF,Mamaearth,Reliance Retail,0.7461698999999999
April'24,RELIANCE RETAIL LIMITED-FREI,Mamaearth,Reliance Retail,0.37964339999999996
April'24,Reliance Retail Limited-FRFC,Mamaearth,Reliance Retail,0.7052372
April'24,Reliance Retail Limited-FRFH,Mamaearth,Reliance Retail,0.3390847
April'24,Reliance Retail Limited-FRFP,Mamaearth,Reliance Retail,0.3068553
April'24,Reliance Retail Limited-FRGS,Mamaearth,Reliance Retail,0.15321189999999998
April'24,Reliance Retail Limited-FRHK,Mamaearth,Reliance Retail,0.4334993
April'24,Reliance Retail Limited-FRHT,Mamaearth,Reliance Retail,0.28613550000000004
April'24,Reliance Retail Limited-S0GK,Mamaearth,Reliance Retail,1.3172711000000001
April'24,Reliance Retail Limited-SAAH,Aqualogica,Reliance Retail,0.49615339999999997
April'24,Reliance Retail Limited-SAAH,Mamaearth,Reliance Retail,5.9659835999999995
April'24,RELIANCE RETAIL LIMITED-SF92,Mamaearth,Reliance Retail,17.8828804
April'24,RELIANCE RETAIL LIMITED-SH65,Aqualogica,Reliance Retail,0.468426
April'24,RELIANCE RETAIL LIMITED-SH65,Mamaearth,Reliance Retail,15.100999200000002
April'24,RELIANCE RETAIL LIMITED-SH69,Aqualogica,Reliance Retail,0.4961554
April'24,RELIANCE RETAIL LIMITED-SH69,Mamaearth,Reliance Retail,5.9926754
April'24,RELIANCE RETAIL LIMITED-SH71,Aqualogica,Reliance Retail,0.5700938000000001
April'24,RELIANCE RETAIL LIMITED-SH71,Mamaearth,Reliance Retail,12.507474699999998
April'24,Reliance Retail Limited-SH77,Mamaearth,Reliance Retail,9.7348143
April'24,Reliance Retail Limited-SK6I,Mamaearth,Reliance Retail,2.6477796
April'24,Reliance Retail Limited-SLG3,Mamaearth,Reliance Retail,13.122058699999998
April'24,RELIANCE RETAIL LIMITED-SLIG,Mamaearth,Reliance Retail,17.001162899999997
April'24,RELIANCE RETAIL LIMITED-SLII,Mamaearth,Reliance Retail,-0.8943905
April'24,Reliance Retail Limited-Slmr,Mamaearth,Reliance Retail,1.6778920999999996
April'24,Reliance Retail Limited-SLS1,Aqualogica,Reliance Retail,0.4961525
April'24,Reliance Retail Limited-SLS1,Mamaearth,Reliance Retail,4.382687299999999
April'24,Reliance Retail Limited-SLS2,Mamaearth,Reliance Retail,0.4304747
April'24,Reliance Retail Limited-SP9K,Mamaearth,Reliance Retail,4.5230103999999995
April'24,Reliance Retail Limited-T915,Mamaearth,Reliance Retail,0.6280843
April'24,Reliance Retail Limited-TAFW,Mamaearth,Reliance Retail,0.21202479999999996
April'24,Reliance Retail Limited-TIU6,Mamaearth,Reliance Retail,0.15141549999999998
April'24,Reliance Retail Limited-TL30,Mamaearth,Reliance Retail,0.45361009999999996
April'24,Reliance Retail Limited-Tna8,Mamaearth,Reliance Retail,0.23482250000000007
April'24,Reliance Retail Limited-TNC4,Mamaearth,Reliance Retail,0.2716189
April'24,Reliance Retail Limited-Tnd5,Mamaearth,Reliance Retail,0.34786510000000015
April'24,Reliance Retail Limited-TOM0,Mamaearth,Reliance Retail,1.019094
April'24,Reliance Retail Limited-TW11,Mamaearth,Reliance Retail,0.5447289000000002
April'24,Reliance Retail Limited-TZL5,Mamaearth,Reliance Retail,0.1322971
April'24,RELIANCE RETAIL LIMITED-VT05,Mamaearth,Reliance Retail,0.5543980000000001
April'24,Reliance Retail Limited-ZZI0-B,Mamaearth,Reliance Retail,0.5550763
April'24,RELIANCE RETAIL Ltd-SK6C,Aqualogica,Reliance Retail,0.46842350000000005
April'24,RELIANCE RETAIL Ltd-SK6C,Mamaearth,Reliance Retail,13.120815100000003
April'24,RELIANCE RETAIL Ltd-SLEW,Aqualogica,Reliance Retail,0.4684235
April'24,RELIANCE RETAIL Ltd-SLEW,Mamaearth,Reliance Retail,11.1591545
April'24,Tnsi Retail Pvt Ltd_Sultanpur,Mamaearth,WH-Smith,0.6527026
April'24,Travel News Services India Pvt Ltd(Wb),Aqualogica,WH-Smith,0.0676533
April'24,Travel News Services India Pvt Ltd(Wb),Mamaearth,WH-Smith,0.2506177
April'24,Travel Retail Services Pvt Ltd_Blr,Mamaearth,Relay,0.2759655000000001
April'24,Travel Retail Services Pvt Ltd_Blr,The Derma Co,Relay,0.0355423
April'24,Trent Hypermarket Private Limited_Blr,Mamaearth,Trent,0.8468666000000001
April'24,Trent Hypermarket Private Limited_Mah,Mamaearth,Trent,2.9862812000000005
April'24,Wal-Mart India Private Limited 4702,Mamaearth,Walmart CNC,1.1217804
April'24,Wal-Mart India Private Limited 4703,Mamaearth,Walmart CNC,0.9860334999999999
April'24,Wal-Mart India Private Limited 4706,Mamaearth,Walmart CNC,1.8293556000000002
April'24,Wal-Mart India Private Limited 4712,Mamaearth,Walmart CNC,0.2867712
April'24,Wal-Mart India Private Limited 4713,Mamaearth,Walmart CNC,1.0831115
April'24,Wal-Mart India Private Limited 4716,Mamaearth,Walmart CNC,1.0810702
April'24,Wal-Mart India Private Limited 4717,Mamaearth,Walmart CNC,0.1573139
April'24,Wal-Mart India Private Limited 4719,Mamaearth,Walmart CNC,2.9043979
April'24,Wal-Mart India Private Limited 4720,Mamaearth,Walmart CNC,1.1724326
April'24,Wal-Mart India Private Limited 4723,Mamaearth,Walmart CNC,1.0397125
April'24,Wal-Mart India Private Limited 4727,Mamaearth,Walmart CNC,1.6543065999999997
April'24,Wal-Mart India Private Limited 4729,Mamaearth,Walmart CNC,0.9062288
April'24,Wal-Mart India Private Limited 4744,Mamaearth,Walmart CNC,0.4836018
April'24,Wal-Mart India Private Limited 4760,Mamaearth,Walmart CNC,0.9280862000000001
April'24,Wal-Mart India Private Limited 4797,Mamaearth,Walmart CNC,0.48644839999999995
April'24,Wal-Mart India Private Limited 4799,Mamaearth,Walmart CNC,0.3112377
