FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'26-27,May'26,2604110303100005-RE,8061189599.0,46143.0,Face,10100843.0,1061175837.0,BALAJI ASSOCIATES Distributor MT,8904417302608.0,150.0,Mamaearth,Others,Face,Face Cream,Vitamin C,Vitamin C Daily Glow Face Cream 150 gm,399.0,3.0,652.47,117.44,1197.0,0.3568003341687551,1004.0,1103031.0,Sales,Dist.,East,Northeast,Balaji Associates Distributor MT,Vmart,0.0,1103031.0,0.0065247000000000005,MT
FY'26-27,May'26,2604110303100005-RE,8061189599.0,46143.0,Face,10100630.0,1061175837.0,BALAJI ASSOCIATES Distributor MT,8906087779216.0,80.0,Mamaearth,Moisturisers,Face,Moisturisers,Rice,Rice Oil-Free Face Moisturizer 80 g,319.0,48.0,8346.3,1502.34,15312.0,0.35680250783699063,1004.0,1103031.0,Sales,Dist.,East,Northeast,Balaji Associates Distributor MT,Vmart,0.0,1103031.0,0.083463,MT
FY'26-27,May'26,2604110303100005-RE,8061189599.0,46143.0,Face,10100843.0,1061175837.0,BALAJI ASSOCIATES Distributor MT,8904417302608.0,150.0,Mamaearth,Others,Face,Face Cream,Vitamin C,Vitamin C Daily Glow Face Cream 150 gm,399.0,31.0,6742.12,1213.59,12369.0,0.35680249009620824,1004.0,1103031.0,Sales,Dist.,East,Northeast,Balaji Associates Distributor MT,Vmart,0.0,1103031.0,0.0674212,MT
FY'26-27,May'26,2604110285100006-RE,8061189600.0,46143.0,Baby,10100058.0,1061175742.0,Sancus Networks Private Limited-RMT,8906087771203.0,50.0,Mamaearth,Baby,Baby,Sun Care,Solution Oriented,Mineral Based Sunscreen 50ml,150.0,100.0,7881.33,1418.64,15000.0,0.38000200000000006,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,0.0,1102851.0,0.0788133,MT
FY'26-27,May'26,2604110285100006-RE,8061189600.0,46143.0,Body,10100641.0,1061175742.0,Sancus Networks Private Limited-RMT,8906087779254.0,300.0,Mamaearth,Body Lotion,Body,Body Lotion,Vitamin C,Vitamin C Sunscreen Body Lotion 300 ml,399.0,72.0,9738.27,1752.9,28728.0,0.60000104427736,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,0.0,1102851.0,0.0973827,MT
FY'26-27,May'26,2604110285100006-RE,8061189600.0,46143.0,Baby,10100021.0,1061175742.0,Sancus Networks Private Limited-RMT,8906087770435.0,400.0,Mamaearth,Baby,Baby,Body Lotion,Solution Oriented,Moisturizing Daily Lotion For Babies 400ml,499.0,30.0,7865.56,1415.81,14970.0,0.380002004008016,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,0.0,1102851.0,0.0786556,MT
FY'26-27,May'26,2604110285100006-RE,8061189600.0,46143.0,Face,10100105.0,1061175742.0,Sancus Networks Private Limited-RMT,8906087772460.0,100.0,Mamaearth,Others,Face,Face Scrub,Ubtan,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,349.0,120.0,22004.67,3960.86,41880.0,0.38000167144221586,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,0.0,1102851.0,0.22004669999999998,MT
FY'26-27,May'26,2604110285100006-RE,8061189600.0,46143.0,Baby,10100224.0,1061175742.0,Sancus Networks Private Limited-RMT,8906087776116.0,400.0,Mamaearth,Baby,Baby,Baby Body Wash,Milky,Milky Soft Body Wash For Babies 400 ml,499.0,60.0,10149.11,1826.85,29940.0,0.600001336005344,1004.0,1102851.0,Sales,Dist.,North,Delhi NCR,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited-RMT,0.0,1102851.0,0.1014911,MT
FY'26-27,May'26,1104539/Apr/30,8061189601.0,46143.0,Face,10100627.0,1061175997.0,VENKATESHWARA AGENCIES-TG,8906087779124.0,100.0,Mamaearth,Others,Face,Face Scrub,Rice,Rice Face Scrub 100 g,349.0,96.0,18262.61,3287.25,33504.0,0.3567973973256925,1004.0,1104539.0,Sales,Dist.,South-2,Telangana,VENKATESHWARA AGENCIES-TG,Apollo/Dmart/H&G/Lulu/Max Hyper/More Retails/Ratnadeep/Spencer,0.0,1104539.0,0.1826261,MT
FY'26-27,May'26,1104539/Apr/30,8061189601.0,46143.0,Baby,10100223.0,1061175997.0,VENKATESHWARA AGENCIES-TG,8906087776109.0,400.0,Mamaearth,Baby,Baby,Shampoo,Milky,Milky Soft Shampoo For Babies 400 ml,444.0,120.0,32637.95,1631.89,53280.0,0.35679729729729726,1004.0,1104539.0,Sales,Dist.,South-2,Telangana,VENKATESHWARA AGENCIES-TG,Apollo/Dmart/H&G/Lulu/Max Hyper/More Retails/Ratnadeep/Spencer,0.0,1104539.0,0.3263795,MT
FY'26-27,May'26,1104539/Apr/30,8061189601.0,46143.0,Hair,10100088.0,1061175997.0,VENKATESHWARA AGENCIES-TG,8906087771968.0,150.0,Mamaearth,Others,Hair,Hair Oil,Castor,Castor Oil for Healthier Skin Hair and Nails with 100% Pure and Natural Cold-Pressed Oil 150ml,266.0,36.0,5866.0,293.3,9576.0,0.35679824561403506,1004.0,1104539.0,Sales,Dist.,South-2,Telangana,VENKATESHWARA AGENCIES-TG,Apollo/Dmart/H&G/Lulu/Max Hyper/More Retails/Ratnadeep/Spencer,0.0,1104539.0,0.05866,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10200219.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8904417306248.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Kojic Acid,1% Kojic Acid Daily Face Wash,299.0,960.0,145952.53,26271.46,287040.0,0.4000000348383501,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.4595253,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10200325.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8904417315141.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,TDC 2% Sali Cinamide anti-acne face wash 150ml,449.0,240.0,37898.64,6821.76,107760.0,0.585,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.3789864,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10100121.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,285.0,960.0,121728.8,21911.19,273600.0,0.4750000365497077,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.217288,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10101322.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8904417318081.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Vitamin C,Vitamin C Daily Glow Light Moisturizing Cream 200 g,449.0,72.0,11369.59,2046.53,32328.0,0.585,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.1136959,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10100121.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,285.0,480.0,60864.4,10955.59,136800.0,0.47500007309941517,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.608644,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10200325.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8904417315141.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,TDC 2% Sali Cinamide anti-acne face wash 150ml,449.0,720.0,113695.92,20465.27,323280.0,0.5850000309329374,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,1.1369592,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10101163.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,449.0,432.0,68217.55,12279.16,193968.0,0.5850000515548957,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.6821755,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10101163.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,449.0,528.0,83377.01,15007.86,237072.0,0.5850000421812782,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.8337701,MT
FY'26-27,May'26,5002872650.0,8061189602.0,46143.0,Face,10101322.0,1061176051.0,Avenue Supermarts Ltd.-DC-1068,8904417318081.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Vitamin C,Vitamin C Daily Glow Light Moisturizing Cream 200 g,449.0,324.0,51163.17,9209.37,145476.0,0.585,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.5116317,MT
