FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087779407.0,50.0,Aqualogica,Sun Care,Face,Sun Care,Radiance+,Radiance+ Dewy Sunscreen 50gm,449.0,3.0,824.75,148.46,1347.0,0.2774981440237565,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0082475,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087773849.0,30.0,The Derma Co.,Face Serum,Face,Face Serum,Salicylic Acid,2% SALICYLIC ACID SERUM 30 ml,499.0,3.0,916.59,164.98,1497.0,0.2775083500334001,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0091659,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417305258.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 50 g,349.0,1.0,193.58,34.84,349.0,0.3455014326647564,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0019358,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417315141.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,TDC 2% Sali Cinamide anti-acne face wash 150ml,449.0,2.0,549.83,98.96,898.0,0.2775167037861914,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0054983,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087773849.0,30.0,The Derma Co.,Face Serum,Face,Face Serum,Salicylic Acid,2% SALICYLIC ACID SERUM 30 ml,499.0,1.0,305.53,55.0,499.0,0.27749498997996,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0030553,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778240.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,ME Vitamin C Daily Glow Face Wash 50 ml,99.0,50.0,2745.56,494.2,4950.0,0.3455030303030303,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0274556,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417305258.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 50 g,349.0,23.0,4452.25,801.4,8027.0,0.3455026784601969,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0445225,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417315141.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,TDC 2% Sali Cinamide anti-acne face wash 150ml,449.0,12.0,3299.0,593.82,5388.0,0.2775018559762434,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.03299,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,77.0,11488.66,2067.96,20713.0,0.3455018587360595,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.1148866,EB2B
FY'25-26,Sep'25,NDH84589,8061154302.0,45903.0,Face,,1061135091.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087775607.0,30.0,The Derma Co.,Face Serum,Face,Face Serum,Vitamin C,10% Vitamin C Face Serum 30ml,649.0,1.0,397.37,71.52,649.0,0.2775192604006163,1004.0,1103982.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0039737,EB2B
