FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Jan'26,5112561099.0,8061171516.0,46024.0,Face,10100310.0,1061154919.0,Reliance Retail Limited_Fr89,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,100.0,7415.3,1334.75,12500.0,0.299996,1004.0,1100929.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,Fr89,1100929.0,0.074153,MT
FY'25-26,Jan'26,5112561099.0,8061171516.0,46024.0,Face,10100695.0,1061154919.0,Reliance Retail Limited_Fr89,8904417300512.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 150ml,419.0,80.0,12499.06,2249.82,33520.0,0.5599976133651552,1004.0,1100929.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,Fr89,1100929.0,0.1249906,MT
FY'25-26,Jan'26,5112561099.0,8061171516.0,46024.0,Face,10101272.0,1061154919.0,Reliance Retail Limited_Fr89,8904417316346.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 50 ml,125.0,144.0,10678.04,1922.03,18000.0,0.299996111111111,1004.0,1100929.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,Fr89,1100929.0,0.1067804,MT
FY'25-26,Jan'26,9202218249.0,8061171518.0,46024.0,Hair,10100076.0,1061154936.0,Reliance Retail Limited-SAAH,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,45.0,9299.83,465.0,13950.0,0.3000121863799283,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,SAAH,1102369.0,0.0929983,MT
FY'25-26,Jan'26,9202218249.0,8061171518.0,46024.0,Hair,10101057.0,1061154936.0,Reliance Retail Limited-SAAH,8904417310245.0,200.0,Mamaearth,Others,Hair,Hair Oil,Onion,ME Onion hair oil 200 ml,444.0,36.0,6241.26,312.07,15984.0,0.5900068818818819,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,SAAH,1102369.0,0.0624126,MT
FY'25-26,Jan'26,9202218249.0,8061171518.0,46024.0,Hair,10100996.0,1061154936.0,Reliance Retail Limited-SAAH,8904417307740.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,Rosemary Anti-Hair Fall Shampoo 250ml,310.0,45.0,9299.84,465.0,13950.0,0.3000114695340502,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,SAAH,1102369.0,0.0929984,MT
FY'25-26,Jan'26,5112562270.0,8061171528.0,46024.0,Face,10101163.0,1061154988.0,Reliance Retail Limited_Fr87,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,1440.0,204528.82,36815.18,603360.0,0.6,1004.0,1100930.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,Fr87,1100930.0,2.0452882,MT
FY'25-26,Jan'26,5112562272.0,8061171530.0,46024.0,Face,10101163.0,1061154987.0,Reliance Retail Limited_SZ9J,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,96.0,13635.65,2454.35,40224.0,0.5999900556881463,1004.0,1103018.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,SZ9J,1103018.0,0.1363565,MT
FY'25-26,Jan'26,5112561076.0,8061171532.0,46024.0,Face,10100695.0,1061154918.0,Reliance Retail Limited_Sk8I,8904417300512.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 150ml,419.0,40.0,6249.41,1124.91,16760.0,0.5600047732696898,1004.0,1101085.0,Sales,Direct,North,Uttarakhand,Reliance Retail Limited,Reliance Retail Limited,Sk8I,1101085.0,0.0624941,MT
FY'25-26,Jan'26,5112561076.0,8061171532.0,46024.0,Face,10101272.0,1061154918.0,Reliance Retail Limited_Sk8I,8904417316346.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 50 ml,125.0,72.0,5338.91,961.02,9000.0,0.3000077777777777,1004.0,1101085.0,Sales,Direct,North,Uttarakhand,Reliance Retail Limited,Reliance Retail Limited,Sk8I,1101085.0,0.0533891,MT
FY'25-26,Jan'26,5112561076.0,8061171532.0,46024.0,Face,10100121.0,1061154918.0,Reliance Retail Limited_Sk8I,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,120.0,19148.9,3446.85,32280.0,0.3000077447335811,1004.0,1101085.0,Sales,Direct,North,Uttarakhand,Reliance Retail Limited,Reliance Retail Limited,Sk8I,1101085.0,0.191489,MT
FY'25-26,Jan'26,9202218169.0,8061171533.0,46024.0,Hair,10100996.0,1061154933.0,Reliance Retail Limited Fb08,8904417307740.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,Rosemary Anti-Hair Fall Shampoo 250ml,310.0,45.0,9299.83,465.0,13950.0,0.3000121863799283,1004.0,1100618.0,Sales,Direct,North,Punjab,Reliance Retail Limited,Reliance Retail Limited,Fb08,1100618.0,0.0929983,MT
