FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Face,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8906087773924.0,250.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,ME Vitamin C Daily Glow Face Wash 250 ml,499.0,72.0,19486.38,3507.54,35928.0,0.36,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,0.1948638,MT
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Body,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8904417317053.0,275.0,Mamaearth,Body Wash,Body,Body Wash,Ubtan,Ubtan Moisturizing Body Wash 275 ml,299.0,240.0,38920.71,7005.72,71760.0,0.3599995819397993,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,0.3892071,MT
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Face,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,399.0,960.0,207750.66,37395.1,383040.0,0.35999958228905593,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,2.0775066,MT
FY'25-26,Jul'25,PO-S000241564,8191005541.0,45840.0,Hair,,1191007063.0,APOLLO HEALTHCO LIMITED-WB-2,8906087772187.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 400ml,559.0,240.0,72764.8,13097.66,134160.0,0.3599995527728085,1313.0,1102406.0,Sales,Direct,East,West Bengal,Apollo Healthco,Apollo Healthco,0.0,1102406.0,0.7276480000000001,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Hair,,1191007062.0,Apollo Healthco Limited-Ore,8906087771883.0,150.0,Mamaearth,Others,Hair,Hair Oil,Onion,Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl 150ml,419.0,12.0,2727.06,490.87,5028.0,0.3599980111376293,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0272706,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Face,,1191007062.0,Apollo Healthco Limited-Ore,8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,269.0,48.0,7003.13,1260.56,12912.0,0.3599992255266419,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0700313,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087770008.0,200.0,Mamaearth,Baby,Baby,Body Lotion,Solution Oriented,Moisturizing Daily Lotion For Babies 200ml,249.0,72.0,9723.68,1750.26,17928.0,0.3599988844265952,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0972368,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087770510.0,100.0,Mamaearth,Baby,Baby,Hair Oil,Solution Oriented,Nourishing Hair Oil for babies 100ml,299.0,24.0,3892.08,700.57,7176.0,0.3599986064659978,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0389208,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087770046.0,200.0,Mamaearth,Baby,Baby,Baby Body Wash,Solution Oriented,Deeply Nourishing Body Wash For Babies 200ml,249.0,24.0,3241.23,583.42,5976.0,0.35999832663989284,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0324123,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087771180.0,150.0,Mamaearth,Baby,Baby,Baby Soap,Solution Oriented,Moisturizing Bathing Bar Soap For Babies pack of 2*75gm,249.0,120.0,16206.13,2917.1,29880.0,0.3599989959839358,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.1620613,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Hair,,1191007062.0,Apollo Healthco Limited-Ore,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,559.0,120.0,36382.46,6548.83,67080.0,0.3599986583184257,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.3638246,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087770527.0,50.0,Mamaearth,Baby,Baby,Oral,Berry Blast,100% Natural Berry Blast Toothpaste for Kids 50gm,149.0,96.0,7758.12,1396.46,14304.0,0.3599986017897092,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0775812,MT
